HydrantID,ValveID,Valve Angle,Longitude,Latitude,Location 1
1299,2-39,270,-118.50238936,34.01861965,"(34.01861965, -118.50238936)"
1000,23-80,330,-118.46244863,34.02769968,"(34.02769968, -118.46244863)"
907,19-162,270,-118.47720674,34.03883565,"(34.03883565, -118.47720674)"
390,10-105,271,-118.49862116,34.03272759,"(34.03272759, -118.49862116)"
880,4-1A,223,-118.48927413,34.01406139,"(34.01406139, -118.48927413)"
1704,5-100,173,-118.48240405,34.00348562,"(34.00348562, -118.48240405)"
980,18-112,182,-118.47318139,34.0337075,"(34.03370750, -118.47318139)"
1175,6-217A,352,-118.4678014,34.00821576,"(34.00821576, -118.46780140)"
1365,3-24,359,-118.49620208,34.00926555,"(34.00926555, -118.49620208)"
841,18-167,180,-118.47518248,34.02750961,"(34.02750961, -118.47518248)"
1096,23-94,270,-118.45801678,34.02875138,"(34.02875138, -118.45801678)"
609,12-50,359,-118.48864672,34.03218533,"(34.03218533, -118.48864672)"
SMC7,,90,-118.46924921,34.01791303,"(34.01791303, -118.46924921)"
SMC8,,90,-118.47002392,34.01745369,"(34.01745369, -118.47002392)"
SMC9,,90,-118.46831996,34.01691039,"(34.01691039, -118.46831996)"
SMC10,,90,-118.46979452,34.01653214,"(34.01653214, -118.46979452)"
SMC11,,90,-118.46945274,34.01625806,"(34.01625806, -118.46945274)"
SMC13,,90,-118.47062724,34.01641207,"(34.01641207, -118.47062724)"
SMC15,,90,-118.47041664,34.01589107,"(34.01589107, -118.47041664)"
SMC12,,90,-118.47018699,34.01666147,"(34.01666147, -118.47018699)"
SMC14,,90,-118.46994923,34.01556222,"(34.01556222, -118.46994923)"
SMC16,,90,-118.47093652,34.01764252,"(34.01764252, -118.47093652)"
SMC17,,90,-118.47115934,34.01736104,"(34.01736104, -118.47115934)"
1505,16-27,356,-118.45356493,34.01147876,"(34.01147876, -118.45356493)"
SMA2,,90,-118.45529215,34.0136528,"(34.01365280, -118.45529215)"
SMA3,,90,-118.45426967,34.01521547,"(34.01521547, -118.45426967)"
SMA4,,90,-118.45362503,34.01509133,"(34.01509133, -118.45362503)"
SMA5,,90,-118.45308016,34.01550328,"(34.01550328, -118.45308016)"
SMA7,,90,-118.45181318,34.01657493,"(34.01657493, -118.45181318)"
SMA9,,90,-118.45007151,34.01839387,"(34.01839387, -118.45007151)"
SMA11,,90,-118.44968906,34.01872093,"(34.01872093, -118.44968906)"
SMA10,,90,-118.44996392,34.01849122,"(34.01849122, -118.44996392)"
